Date,Market,Arrival(q),Price Minimum (Rs/q),Price Maximum (Rs/q),Modal Price (Rs/q)
02/Jan/2017,ABOHAR(PB),200,750,1000,850
02/Jan/2017,AGRA(UP),2850,600,925,850
03/Jan/2017,AGRA(UP),2950,800,900,840
04/Jan/2017,AGRA(UP),3400,780,900,830
06/Jan/2017,AGRA(UP),3800,750,850,800
07/Jan/2017,AGRA(UP),3700,750,850,810
09/Jan/2017,AGRA(UP),3300,800,900,840
10/Jan/2017,AGRA(UP),3500,750,880,820
11/Jan/2017,AGRA(UP),3150,800,900,840
12/Jan/2017,AGRA(UP),3100,800,900,850
13/Jan/2017,AGRA(UP),3200,600,900,820
16/Jan/2017,AGRA(UP),3480,700,900,800
17/Jan/2017,AGRA(UP),1500,370,470,410
18/Jan/2017,AGRA(UP),3600,850,850,850
19/Jan/2017,AGRA(UP),3200,750,1000,875
20/Jan/2017,AGRA(UP),3500,600,900,840
21/Jan/2017,AGRA(UP),3000,600,910,870
23/Jan/2017,AGRA(UP),2850,830,920,880
25/Jan/2017,AGRA(UP),3150,750,850,800
27/Jan/2017,AGRA(UP),3150,770,860,810
28/Jan/2017,AGRA(UP),3050,820,820,820
30/Jan/2017,AGRA(UP),3000,800,880,830
31/Jan/2017,AGRA(UP),2930,800,900,840
02/Feb/2017,AGRA(UP),2850,800,900,850
03/Feb/2017,AGRA(UP),2750,810,900,860
04/Feb/2017,AGRA(UP),2900,850,850,850
06/Feb/2017,AGRA(UP),2800,800,900,860
07/Feb/2017,AGRA(UP),2950,400,900,850
08/Feb/2017,AGRA(UP),2900,800,900,860
10/Feb/2017,AGRA(UP),2910,800,900,860
13/Feb/2017,AGRA(UP),3000,850,850,850
14/Feb/2017,AGRA(UP),2900,600,980,900
15/Feb/2017,AGRA(UP),2780,600,980,910
16/Feb/2017,AGRA(UP),3030,850,950,900
17/Feb/2017,AGRA(UP),2800,600,980,920
18/Feb/2017,AGRA(UP),3000,850,960,910
20/Feb/2017,AGRA(UP),3050,800,900,860
21/Feb/2017,AGRA(UP),2950,820,950,890
22/Feb/2017,AGRA(UP),2780,900,900,900
23/Feb/2017,AGRA(UP),2990,850,950,890
25/Feb/2017,AGRA(UP),3150,800,950,880
27/Feb/2017,AGRA(UP),3250,750,850,800
28/Feb/2017,AGRA(UP),3110,800,900,840
02/Mar/2017,AGRA(UP),3300,500,900,850
03/Mar/2017,AGRA(UP),3400,800,900,840
04/Mar/2017,AGRA(UP),3200,750,850,800
06/Mar/2017,AGRA(UP),2950,800,950,880
07/Mar/2017,AGRA(UP),3050,800,900,860
08/Mar/2017,AGRA(UP),3380,800,900,850
09/Mar/2017,AGRA(UP),3450,800,900,840
10/Mar/2017,AGRA(UP),2700,800,920,840
15/Mar/2017,AGRA(UP),2350,800,950,880
16/Mar/2017,AGRA(UP),3550,800,900,860
17/Mar/2017,AGRA(UP),3640,800,900,840
18/Mar/2017,AGRA(UP),3600,800,900,850
20/Mar/2017,AGRA(UP),3850,800,900,840
21/Mar/2017,AGRA(UP),3800,800,900,850
22/Mar/2017,AGRA(UP),3700,820,950,880
23/Mar/2017,AGRA(UP),3480,890,890,890
24/Mar/2017,AGRA(UP),3630,820,950,880
25/Mar/2017,AGRA(UP),3700,800,900,860
27/Mar/2017,AGRA(UP),4020,800,900,850
28/Mar/2017,AGRA(UP),4100,800,900,840
30/Mar/2017,AGRA(UP),3700,800,950,870
31/Mar/2017,AGRA(UP),3820,800,920,860
03/Apr/2017,AGRA(UP),3980,810,950,880
06/Apr/2017,AGRA(UP),3950,800,920,870
07/Apr/2017,AGRA(UP),2330,800,900,860
10/Apr/2017,AGRA(UP),3850,850,950,890
12/Apr/2017,AGRA(UP),4250,850,960,900
13/Apr/2017,AGRA(UP),4150,850,950,920
15/Apr/2017,AGRA(UP),4450,850,950,900
18/Apr/2017,AGRA(UP),4790,800,920,870
19/Apr/2017,AGRA(UP),4700,800,950,880
20/Apr/2017,AGRA(UP),4600,850,950,890
21/Apr/2017,AGRA(UP),4900,800,950,880
22/Apr/2017,AGRA(UP),5000,800,900,860
24/Apr/2017,AGRA(UP),4150,800,950,870
25/Apr/2017,AGRA(UP),4150,800,950,875
26/Apr/2017,AGRA(UP),4010,790,960,880
27/Apr/2017,AGRA(UP),4100,780,920,860
28/Apr/2017,AGRA(UP),4150,750,900,850
02/Jan/2017,AHMEDABAD(GUJ),7240,500,850,700
03/Jan/2017,AHMEDABAD(GUJ),6737,500,800,700
04/Jan/2017,AHMEDABAD(GUJ),6527,500,900,800
05/Jan/2017,AHMEDABAD(GUJ),5478,500,800,700
06/Jan/2017,AHMEDABAD(GUJ),6396,500,850,700
07/Jan/2017,AHMEDABAD(GUJ),8065,400,800,700
09/Jan/2017,AHMEDABAD(GUJ),9626,400,800,700
10/Jan/2017,AHMEDABAD(GUJ),6920,400,750,600
11/Jan/2017,AHMEDABAD(GUJ),8786,500,750,650
12/Jan/2017,AHMEDABAD(GUJ),10482,400,800,650
13/Jan/2017,AHMEDABAD(GUJ),10424,400,750,600
16/Jan/2017,AHMEDABAD(GUJ),7210,400,900,700
17/Jan/2017,AHMEDABAD(GUJ),1165,200,700,450
18/Jan/2017,AHMEDABAD(GUJ),8477,450,800,700
19/Jan/2017,AHMEDABAD(GUJ),7714,400,750,600
20/Jan/2017,AHMEDABAD(GUJ),8532,400,750,600
21/Jan/2017,AHMEDABAD(GUJ),10482,400,750,600
23/Jan/2017,AHMEDABAD(GUJ),9205,400,750,600
24/Jan/2017,AHMEDABAD(GUJ),9008,400,700,600
25/Jan/2017,AHMEDABAD(GUJ),8684,400,700,600
27/Jan/2017,AHMEDABAD(GUJ),7788,400,600,550
28/Jan/2017,AHMEDABAD(GUJ),6517,300,650,500
30/Jan/2017,AHMEDABAD(GUJ),7111,400,700,600
31/Jan/2017,AHMEDABAD(GUJ),5718,350,650,500
01/Feb/2017,AHMEDABAD(GUJ),4807,500,900,800
02/Feb/2017,AHMEDABAD(GUJ),7465,400,900,700
03/Feb/2017,AHMEDABAD(GUJ),5571,500,900,700
04/Feb/2017,AHMEDABAD(GUJ),6035,600,900,800
06/Feb/2017,AHMEDABAD(GUJ),8219,500,900,750
07/Feb/2017,AHMEDABAD(GUJ),7263,500,900,800
08/Feb/2017,AHMEDABAD(GUJ),8122,500,900,750
09/Feb/2017,AHMEDABAD(GUJ),9275,500,900,800
10/Feb/2017,AHMEDABAD(GUJ),7170,500,900,800
11/Feb/2017,AHMEDABAD(GUJ),11256,500,900,800
13/Feb/2017,AHMEDABAD(GUJ),9782,600,900,800
14/Feb/2017,AHMEDABAD(GUJ),6362,500,900,800
15/Feb/2017,AHMEDABAD(GUJ),6391,600,900,800
16/Feb/2017,AHMEDABAD(GUJ),6296,600,900,800
17/Feb/2017,AHMEDABAD(GUJ),6185,600,900,800
18/Feb/2017,AHMEDABAD(GUJ),6182,500,900,750
20/Feb/2017,AHMEDABAD(GUJ),7479,500,900,700
21/Feb/2017,AHMEDABAD(GUJ),5624,600,900,800
22/Feb/2017,AHMEDABAD(GUJ),5974,500,900,700
23/Feb/2017,AHMEDABAD(GUJ),5989,600,900,800
25/Feb/2017,AHMEDABAD(GUJ),10356,600,950,800
27/Feb/2017,AHMEDABAD(GUJ),10350,400,950,650
28/Feb/2017,AHMEDABAD(GUJ),6774,600,900,800
01/Mar/2017,AHMEDABAD(GUJ),5724,400,650,550
02/Mar/2017,AHMEDABAD(GUJ),7654,400,650,550
03/Mar/2017,AHMEDABAD(GUJ),8732,400,700,600
04/Mar/2017,AHMEDABAD(GUJ),8720,450,870,650
06/Mar/2017,AHMEDABAD(GUJ),14021,350,700,550
07/Mar/2017,AHMEDABAD(GUJ),7914,300,700,500
08/Mar/2017,AHMEDABAD(GUJ),5626,400,700,550
09/Mar/2017,AHMEDABAD(GUJ),7202,400,700,600
10/Mar/2017,AHMEDABAD(GUJ),8010,400,850,600
11/Mar/2017,AHMEDABAD(GUJ),7668,400,600,500
14/Mar/2017,AHMEDABAD(GUJ),6669,350,600,500
15/Mar/2017,AHMEDABAD(GUJ),6031,250,600,450
16/Mar/2017,AHMEDABAD(GUJ),6174,350,600,500
17/Mar/2017,AHMEDABAD(GUJ),6843,350,600,500
18/Mar/2017,AHMEDABAD(GUJ),7733,400,700,600
21/Mar/2017,AHMEDABAD(GUJ),13131,350,650,550
22/Mar/2017,AHMEDABAD(GUJ),9246,350,650,500
23/Mar/2017,AHMEDABAD(GUJ),8106,300,650,500
24/Mar/2017,AHMEDABAD(GUJ),7214,300,650,500
25/Mar/2017,AHMEDABAD(GUJ),8230,300,700,500
27/Mar/2017,AHMEDABAD(GUJ),11556,300,650,500
28/Mar/2017,AHMEDABAD(GUJ),5885,300,650,500
29/Mar/2017,AHMEDABAD(GUJ),5880,350,700,500
30/Mar/2017,AHMEDABAD(GUJ),8131,350,600,500
31/Mar/2017,AHMEDABAD(GUJ),8130,350,800,650
01/Apr/2017,AHMEDABAD(GUJ),3463,350,700,550
03/Apr/2017,AHMEDABAD(GUJ),6807,400,600,550
04/Apr/2017,AHMEDABAD(GUJ),5567,400,700,600
05/Apr/2017,AHMEDABAD(GUJ),8910,450,800,600
06/Apr/2017,AHMEDABAD(GUJ),11549,400,700,550
07/Apr/2017,AHMEDABAD(GUJ),8035,400,700,600
08/Apr/2017,AHMEDABAD(GUJ),9003,350,650,550
10/Apr/2017,AHMEDABAD(GUJ),11265,400,700,600
11/Apr/2017,AHMEDABAD(GUJ),8648,400,700,600
12/Apr/2017,AHMEDABAD(GUJ),6807,300,700,500
13/Apr/2017,AHMEDABAD(GUJ),7865,400,650,550
15/Apr/2017,AHMEDABAD(GUJ),13338,400,650,550
17/Apr/2017,AHMEDABAD(GUJ),8984,300,600,500
18/Apr/2017,AHMEDABAD(GUJ),6443,400,600,500
19/Apr/2017,AHMEDABAD(GUJ),7484,400,650,550
20/Apr/2017,AHMEDABAD(GUJ),5881,500,750,650
21/Apr/2017,AHMEDABAD(GUJ),6349,400,600,550
22/Apr/2017,AHMEDABAD(GUJ),6522,350,650,500
24/Apr/2017,AHMEDABAD(GUJ),11275,400,600,550
26/Apr/2017,AHMEDABAD(GUJ),9679,400,650,550
27/Apr/2017,AHMEDABAD(GUJ),8030,350,600,500
28/Apr/2017,AHMEDABAD(GUJ),8020,500,700,620
16/Jan/2017,AHMEDNAGAR(MS),48516,100,850,700
23/Jan/2017,AHMEDNAGAR(MS),38122,100,875,700
11/Feb/2017,AHMEDNAGAR(MS),20014,100,800,700
13/Feb/2017,AHMEDNAGAR(MS),24983,100,850,700
18/Feb/2017,AHMEDNAGAR(MS),22886,200,850,700
09/Mar/2017,AHMEDNAGAR(MS),34405,200,750,600
23/Mar/2017,AHMEDNAGAR(MS),36140,200,700,575
25/Mar/2017,AHMEDNAGAR(MS),28420,200,715,575
08/Apr/2017,AHMEDNAGAR(MS),38734,200,700,600
24/Apr/2017,AHMEDNAGAR(MS),29126,100,625,525
02/Jan/2017,AIGINIA MANDIA (OR),700,1200,1400,1300
04/Jan/2017,AIGINIA MANDIA (OR),500,1200,1400,1300
05/Jan/2017,AIGINIA MANDIA (OR),600,1200,1400,1300
06/Jan/2017,AIGINIA MANDIA (OR),600,1200,1400,1300
09/Jan/2017,AIGINIA MANDIA (OR),700,1200,1400,1300
11/Jan/2017,AIGINIA MANDIA (OR),700,1200,1400,1300
13/Jan/2017,AIGINIA MANDIA (OR),600,1200,1400,1300
16/Jan/2017,AIGINIA MANDIA (OR),400,1100,1300,1200
18/Jan/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
19/Jan/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
21/Jan/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
25/Jan/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
30/Jan/2017,AIGINIA MANDIA (OR),400,1100,1300,1200
31/Jan/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
04/Feb/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
06/Feb/2017,AIGINIA MANDIA (OR),120,1150,1350,1250
07/Feb/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
08/Feb/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
09/Feb/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
10/Feb/2017,AIGINIA MANDIA (OR),700,1100,1300,1200
13/Feb/2017,AIGINIA MANDIA (OR),650,1100,1300,1200
14/Feb/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
15/Feb/2017,AIGINIA MANDIA (OR),600,1100,1300,1200
16/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
17/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
18/Feb/2017,AIGINIA MANDIA (OR),650,1000,1200,1100
20/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
21/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
22/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
23/Feb/2017,AIGINIA MANDIA (OR),750,1000,1200,1100
28/Feb/2017,AIGINIA MANDIA (OR),600,1000,1200,1100
01/Mar/2017,AIGINIA MANDIA (OR),650,1000,1100,1050
02/Mar/2017,AIGINIA MANDIA (OR),700,850,950,900
04/Mar/2017,AIGINIA MANDIA (OR),600,1000,1100,1050
06/Mar/2017,AIGINIA MANDIA (OR),650,800,900,850
07/Mar/2017,AIGINIA MANDIA (OR),600,850,950,900
10/Mar/2017,AIGINIA MANDIA (OR),550,850,950,900
15/Mar/2017,AIGINIA MANDIA (OR),600,850,950,900
16/Mar/2017,AIGINIA MANDIA (OR),700,850,950,900
21/Mar/2017,AIGINIA MANDIA (OR),700,850,950,900
22/Mar/2017,AIGINIA MANDIA (OR),700,850,950,900
23/Mar/2017,AIGINIA MANDIA (OR),600,850,950,900
24/Mar/2017,AIGINIA MANDIA (OR),500,850,950,900
27/Mar/2017,AIGINIA MANDIA (OR),500,850,950,900
29/Mar/2017,AIGINIA MANDIA (OR),600,850,950,900
30/Mar/2017,AIGINIA MANDIA (OR),750,850,950,900
31/Mar/2017,AIGINIA MANDIA (OR),600,900,1000,950
05/Apr/2017,AIGINIA MANDIA (OR),700,900,1000,950
07/Apr/2017,AIGINIA MANDIA (OR),700,950,1050,1000
09/Apr/2017,AIGINIA MANDIA (OR),750,1000,1100,1050
10/Apr/2017,AIGINIA MANDIA (OR),600,1000,1100,1050
11/Apr/2017,AIGINIA MANDIA (OR),600,1000,1100,1050
13/Apr/2017,AIGINIA MANDIA (OR),500,1000,1100,1050
15/Apr/2017,AIGINIA MANDIA (OR),600,1000,1100,1050
17/Apr/2017,AIGINIA MANDIA (OR),700,1050,1150,1100
19/Apr/2017,AIGINIA MANDIA (OR),650,1000,1100,1050
22/Apr/2017,AIGINIA MANDIA (OR),500,1050,1150,1100
02/Jan/2017,AJMER(RAJ),451,800,1200,1000
03/Jan/2017,AJMER(RAJ),600,800,1000,900
04/Jan/2017,AJMER(RAJ),668,400,800,600
06/Jan/2017,AJMER(RAJ),518,800,1000,900
09/Jan/2017,AJMER(RAJ),26,800,1000,900
10/Jan/2017,AJMER(RAJ),216,800,1000,900
11/Jan/2017,AJMER(RAJ),446,800,1000,950
18/Jan/2017,AJMER(RAJ),546,800,1200,1000
23/Jan/2017,AJMER(RAJ),521,600,1000,800
24/Jan/2017,AJMER(RAJ),329,800,1000,900
25/Jan/2017,AJMER(RAJ),1205,600,1000,800
30/Jan/2017,AJMER(RAJ),968,500,800,700
06/Feb/2017,AJMER(RAJ),16,800,1000,900
07/Feb/2017,AJMER(RAJ),428,700,1000,900
08/Feb/2017,AJMER(RAJ),728,800,1000,950
09/Feb/2017,AJMER(RAJ),705,800,1000,900
13/Feb/2017,AJMER(RAJ),916,700,1000,850
14/Feb/2017,AJMER(RAJ),531,700,1000,900
15/Feb/2017,AJMER(RAJ),783,700,1100,950
16/Feb/2017,AJMER(RAJ),810,700,1100,900
17/Feb/2017,AJMER(RAJ),1129,700,1100,950
20/Feb/2017,AJMER(RAJ),1316,700,1100,950
21/Feb/2017,AJMER(RAJ),870,700,1100,950
23/Feb/2017,AJMER(RAJ),775,700,1100,900
06/Mar/2017,AJMER(RAJ),466,600,1000,900
07/Mar/2017,AJMER(RAJ),671,500,900,800
08/Mar/2017,AJMER(RAJ),1003,500,900,800
09/Mar/2017,AJMER(RAJ),368,500,900,750
16/Mar/2017,AJMER(RAJ),340,600,900,800
17/Mar/2017,AJMER(RAJ),806,600,900,750
21/Mar/2017,AJMER(RAJ),341,600,900,800
22/Mar/2017,AJMER(RAJ),78,600,900,850
23/Mar/2017,AJMER(RAJ),1488,600,900,800
24/Mar/2017,AJMER(RAJ),622,500,900,700
31/Mar/2017,AJMER(RAJ),753,500,900,750
06/Apr/2017,AJMER(RAJ),405,500,900,800
07/Apr/2017,AJMER(RAJ),455,500,900,850
12/Apr/2017,AJMER(RAJ),1242,500,900,750
13/Apr/2017,AJMER(RAJ),268,500,900,800
18/Apr/2017,AJMER(RAJ),272,500,900,850
19/Apr/2017,AJMER(RAJ),364,500,900,800
20/Apr/2017,AJMER(RAJ),498,500,900,850
21/Apr/2017,AJMER(RAJ),942,500,900,750
24/Apr/2017,AJMER(RAJ),821,500,900,750
25/Apr/2017,AJMER(RAJ),408,500,900,800
26/Apr/2017,AJMER(RAJ),695,500,900,750
27/Apr/2017,AJMER(RAJ),224,500,900,700
28/Apr/2017,AJMER(RAJ),640,500,900,700
02/Jan/2017,ALIGARH(UP),850,750,850,800
03/Jan/2017,ALIGARH(UP),600,800,900,850
04/Jan/2017,ALIGARH(UP),700,750,850,800
06/Jan/2017,ALIGARH(UP),800,750,850,800
07/Jan/2017,ALIGARH(UP),700,800,900,850
09/Jan/2017,ALIGARH(UP),750,750,850,800
10/Jan/2017,ALIGARH(UP),800,800,900,850
11/Jan/2017,ALIGARH(UP),700,750,850,800
12/Jan/2017,ALIGARH(UP),750,800,900,850
13/Jan/2017,ALIGARH(UP),700,850,950,900
16/Jan/2017,ALIGARH(UP),750,850,950,900
17/Jan/2017,ALIGARH(UP),700,400,500,450
18/Jan/2017,ALIGARH(UP),800,850,950,900
19/Jan/2017,ALIGARH(UP),750,800,900,850
20/Jan/2017,ALIGARH(UP),700,850,950,900
21/Jan/2017,ALIGARH(UP),750,800,900,850
23/Jan/2017,ALIGARH(UP),800,750,850,800
25/Jan/2017,ALIGARH(UP),700,850,950,900
27/Jan/2017,ALIGARH(UP),800,800,900,850
28/Jan/2017,ALIGARH(UP),700,850,950,900
30/Jan/2017,ALIGARH(UP),750,800,900,850
02/Feb/2017,ALIGARH(UP),700,900,1000,950
03/Feb/2017,ALIGARH(UP),800,850,950,900
04/Feb/2017,ALIGARH(UP),900,850,950,900
06/Feb/2017,ALIGARH(UP),800,850,950,900
07/Feb/2017,ALIGARH(UP),700,900,1000,950
08/Feb/2017,ALIGARH(UP),800,850,950,900
09/Feb/2017,ALIGARH(UP),750,870,970,920
10/Feb/2017,ALIGARH(UP),700,850,950,900
13/Feb/2017,ALIGARH(UP),750,880,980,930
14/Feb/2017,ALIGARH(UP),800,850,950,900
16/Feb/2017,ALIGARH(UP),900,800,900,850
17/Feb/2017,ALIGARH(UP),800,810,910,860
18/Feb/2017,ALIGARH(UP),700,800,900,850
20/Feb/2017,ALIGARH(UP),750,850,950,900
21/Feb/2017,ALIGARH(UP),700,800,900,850
22/Feb/2017,ALIGARH(UP),800,820,920,870
23/Feb/2017,ALIGARH(UP),750,800,900,850
27/Feb/2017,ALIGARH(UP),800,800,900,850
01/Mar/2017,ALIGARH(UP),750,810,850,830
02/Mar/2017,ALIGARH(UP),700,800,900,850
03/Mar/2017,ALIGARH(UP),750,790,890,840
04/Mar/2017,ALIGARH(UP),800,800,900,850
06/Mar/2017,ALIGARH(UP),850,800,900,850
07/Mar/2017,ALIGARH(UP),800,790,890,840
08/Mar/2017,ALIGARH(UP),700,800,900,850
09/Mar/2017,ALIGARH(UP),800,800,900,850
14/Mar/2017,ALIGARH(UP),850,850,920,870
15/Mar/2017,ALIGARH(UP),500,800,900,850
16/Mar/2017,ALIGARH(UP),600,800,900,850
17/Mar/2017,ALIGARH(UP),700,830,930,880
18/Mar/2017,ALIGARH(UP),800,800,900,850
20/Mar/2017,ALIGARH(UP),800,850,950,900
21/Mar/2017,ALIGARH(UP),850,850,950,900
22/Mar/2017,ALIGARH(UP),800,800,900,850
23/Mar/2017,ALIGARH(UP),700,820,920,870
24/Mar/2017,ALIGARH(UP),800,800,900,850
25/Mar/2017,ALIGARH(UP),850,790,890,840
28/Mar/2017,ALIGARH(UP),700,820,920,870
29/Mar/2017,ALIGARH(UP),800,750,850,800
30/Mar/2017,ALIGARH(UP),850,810,910,860
01/Apr/2017,ALIGARH(UP),800,800,900,850
03/Apr/2017,ALIGARH(UP),900,820,920,870
06/Apr/2017,ALIGARH(UP),850,800,900,850
07/Apr/2017,ALIGARH(UP),800,810,910,860
08/Apr/2017,ALIGARH(UP),700,800,900,850
10/Apr/2017,ALIGARH(UP),750,790,890,840
12/Apr/2017,ALIGARH(UP),800,750,850,800
13/Apr/2017,ALIGARH(UP),850,770,870,820
14/Apr/2017,ALIGARH(UP),800,790,890,840
18/Apr/2017,ALIGARH(UP),700,780,880,830
19/Apr/2017,ALIGARH(UP),600,800,900,850
20/Apr/2017,ALIGARH(UP),800,790,890,840
21/Apr/2017,ALIGARH(UP),700,800,900,850
22/Apr/2017,ALIGARH(UP),750,780,880,830
24/Apr/2017,ALIGARH(UP),700,800,900,850
25/Apr/2017,ALIGARH(UP),800,790,890,840
26/Apr/2017,ALIGARH(UP),750,800,900,850
27/Apr/2017,ALIGARH(UP),800,780,880,830
28/Apr/2017,ALIGARH(UP),700,840,940,890
29/Apr/2017,ALIGARH(UP),750,800,900,850
03/Jan/2017,ALLAHABAD(UP),1400,975,975,975
04/Jan/2017,ALLAHABAD(UP),1500,980,980,980
06/Jan/2017,ALLAHABAD(UP),1600,985,985,985
07/Jan/2017,ALLAHABAD(UP),1400,985,985,985
09/Jan/2017,ALLAHABAD(UP),1800,960,960,960
10/Jan/2017,ALLAHABAD(UP),1900,950,950,950
11/Jan/2017,ALLAHABAD(UP),2000,950,950,950
12/Jan/2017,ALLAHABAD(UP),1800,965,965,965
13/Jan/2017,ALLAHABAD(UP),1600,970,970,970
16/Jan/2017,ALLAHABAD(UP),2000,970,970,970
17/Jan/2017,ALLAHABAD(UP),1600,500,500,500
18/Jan/2017,ALLAHABAD(UP),1900,985,985,985
19/Jan/2017,ALLAHABAD(UP),2000,985,985,985
20/Jan/2017,ALLAHABAD(UP),2200,990,990,990
23/Jan/2017,ALLAHABAD(UP),2500,980,980,980
25/Jan/2017,ALLAHABAD(UP),2400,985,985,985
28/Jan/2017,ALLAHABAD(UP),2000,950,950,950
30/Jan/2017,ALLAHABAD(UP),1600,960,960,960
31/Jan/2017,ALLAHABAD(UP),1500,950,950,950
01/Feb/2017,ALLAHABAD(UP),1800,950,950,950
03/Feb/2017,ALLAHABAD(UP),1300,955,955,955
04/Feb/2017,ALLAHABAD(UP),1200,960,960,960
06/Feb/2017,ALLAHABAD(UP),1600,960,960,960
07/Feb/2017,ALLAHABAD(UP),1500,965,965,965
08/Feb/2017,ALLAHABAD(UP),1400,970,970,970
09/Feb/2017,ALLAHABAD(UP),1300,970,970,970
10/Feb/2017,ALLAHABAD(UP),1350,960,960,960
13/Feb/2017,ALLAHABAD(UP),1400,965,965,965
15/Feb/2017,ALLAHABAD(UP),1700,950,950,950
17/Feb/2017,ALLAHABAD(UP),1700,955,955,955
18/Feb/2017,ALLAHABAD(UP),2000,965,965,965
20/Feb/2017,ALLAHABAD(UP),1800,965,965,965
21/Feb/2017,ALLAHABAD(UP),1600,950,950,950
22/Feb/2017,ALLAHABAD(UP),110,955,955,955
27/Feb/2017,ALLAHABAD(UP),160,970,970,970
01/Mar/2017,ALLAHABAD(UP),2000,965,965,965
02/Mar/2017,ALLAHABAD(UP),2200,960,960,960
03/Mar/2017,ALLAHABAD(UP),2500,960,960,960
04/Mar/2017,ALLAHABAD(UP),2000,965,965,965
06/Mar/2017,ALLAHABAD(UP),2200,980,980,980
07/Mar/2017,ALLAHABAD(UP),1500,970,970,970
08/Mar/2017,ALLAHABAD(UP),1600,960,960,960
09/Mar/2017,ALLAHABAD(UP),1800,970,970,970
15/Mar/2017,ALLAHABAD(UP),1500,980,980,980
16/Mar/2017,ALLAHABAD(UP),1000,970,970,970
17/Mar/2017,ALLAHABAD(UP),1500,985,985,985
18/Mar/2017,ALLAHABAD(UP),1600,990,990,990
20/Mar/2017,ALLAHABAD(UP),1500,980,980,980
21/Mar/2017,ALLAHABAD(UP),1600,985,985,985
22/Mar/2017,ALLAHABAD(UP),1400,990,990,990
23/Mar/2017,ALLAHABAD(UP),1800,980,980,980
24/Mar/2017,ALLAHABAD(UP),2000,970,970,970
25/Mar/2017,ALLAHABAD(UP),1900,960,960,960
27/Mar/2017,ALLAHABAD(UP),2000,970,970,970
28/Mar/2017,ALLAHABAD(UP),2500,970,970,970
30/Mar/2017,ALLAHABAD(UP),2200,980,980,980
31/Mar/2017,ALLAHABAD(UP),2400,980,980,980
01/Apr/2017,ALLAHABAD(UP),2200,980,980,980
03/Apr/2017,ALLAHABAD(UP),2000,960,960,960
06/Apr/2017,ALLAHABAD(UP),2100,965,965,965
07/Apr/2017,ALLAHABAD(UP),2500,970,970,970
10/Apr/2017,ALLAHABAD(UP),2600,975,975,975
12/Apr/2017,ALLAHABAD(UP),2600,975,975,975
13/Apr/2017,ALLAHABAD(UP),2400,975,975,975
18/Apr/2017,ALLAHABAD(UP),1800,980,980,980
19/Apr/2017,ALLAHABAD(UP),1850,985,985,985
20/Apr/2017,ALLAHABAD(UP),1900,990,990,990
21/Apr/2017,ALLAHABAD(UP),2000,990,990,990
22/Apr/2017,ALLAHABAD(UP),2200,990,990,990
24/Apr/2017,ALLAHABAD(UP),2300,985,985,985
25/Apr/2017,ALLAHABAD(UP),2500,985,985,985
26/Apr/2017,ALLAHABAD(UP),2400,990,990,990
27/Apr/2017,ALLAHABAD(UP),2600,990,990,990
28/Apr/2017,ALLAHABAD(UP),2800,995,995,995
29/Apr/2017,ALLAHABAD(UP),2800,985,985,985
02/Jan/2017,ALWAR(RAJ),3985,300,800,650
03/Jan/2017,ALWAR(RAJ),4055,500,900,700
04/Jan/2017,ALWAR(RAJ),3969,500,900,700
06/Jan/2017,ALWAR(RAJ),4792,500,800,650
09/Jan/2017,ALWAR(RAJ),8302,500,800,650
10/Jan/2017,ALWAR(RAJ),6007,250,750,500
11/Jan/2017,ALWAR(RAJ),4044,300,500,400
17/Jan/2017,ALWAR(RAJ),57,750,1000,875
18/Jan/2017,ALWAR(RAJ),1767,400,750,575
19/Jan/2017,ALWAR(RAJ),1507,375,675,575
20/Jan/2017,ALWAR(RAJ),1876,250,625,438
23/Jan/2017,ALWAR(RAJ),1720,300,650,475
24/Jan/2017,ALWAR(RAJ),1396,500,800,650
25/Jan/2017,ALWAR(RAJ),1296,500,800,650
27/Jan/2017,ALWAR(RAJ),578,500,800,650
30/Jan/2017,ALWAR(RAJ),497,500,800,650
31/Jan/2017,ALWAR(RAJ),273,250,625,438
01/Feb/2017,ALWAR(RAJ),535,800,1000,900
02/Feb/2017,ALWAR(RAJ),389,300,500,400
03/Feb/2017,ALWAR(RAJ),602,800,1000,900
06/Feb/2017,ALWAR(RAJ),367,800,1000,900
07/Feb/2017,ALWAR(RAJ),151,300,500,400
08/Feb/2017,ALWAR(RAJ),549,800,900,850
09/Feb/2017,ALWAR(RAJ),161,300,500,400
10/Feb/2017,ALWAR(RAJ),161,400,600,500
14/Feb/2017,ALWAR(RAJ),120,300,500,400
