S No.,States/Union Territory,Name of the District,"Number of Sub Centres - (As on 31st March, 2016)","Number of PHCs - (As on 31st March, 2016)","Number of CHCs - (As on 31st March, 2016)","Number of Sub Divisional Hospital - (As on 31st March, 2016)","Number of District Hospital - (As on 31st March, 2016)"
34,Uttar Pradesh,Bulandshahar,390,69,13,0,4
34,Uttar Pradesh,Chaundoli,244,33,5,0,2
34,Uttar Pradesh,Chitrakoot,140,33,6,0,1
34,Uttar Pradesh,Deoria,364,77,16,0,2
34,Uttar Pradesh,Etah,175,36,4,0,2
34,Uttar Pradesh,Etawah,169,34,8,0,3
34,Uttar Pradesh,Faizabad,255,38,10,0,3
34,Uttar Pradesh,Farrukhabad,192,32,8,0,2
34,Uttar Pradesh,Fatehpur,309,48,9,0,2
34,Uttar Pradesh,Ferozabad,240,59,7,0,3
34,Uttar Pradesh,Gautambudhnagar,107,21,5,0,1
34,Uttar Pradesh,Gaziabad,144,20,4,0,3
34,Uttar Pradesh,Ghazipur,393,73,16,0,2
34,Uttar Pradesh,Gonda,338,66,16,0,2
34,Uttar Pradesh,Gorakhpur,448,79,16,0,2
34,Uttar Pradesh,Hamirpur,215,41,8,0,2
34,Uttar Pradesh,Hapur,148,25,4,0,0
34,Uttar Pradesh,Hardoi,432,62,13,0,2
34,Uttar Pradesh,Hathras,147,32,7,0,3
34,Uttar Pradesh,Jalaun,286,39,7,0,2
34,Uttar Pradesh,Jaunpur,499,92,21,0,3
34,Uttar Pradesh,Jhansi,326,44,6,0,2
34,Uttar Pradesh,JP Nagar,172,29,8,0,2
34,Uttar Pradesh,Kannauj,188,34,11,0,1
34,Uttar Pradesh,Kanpur (Dehat),217,36,11,0,2
34,Uttar Pradesh,Kanpur (Nagar),390,44,10,0,4
34,Uttar Pradesh,Kashi Ram Nagar/ Kashganj,170,36,5,0,1
34,Uttar Pradesh,Kaushambi,170,36,7,0,1
34,Uttar Pradesh,Khiri/ Lakhimpur,387,70,14,0,2
34,Uttar Pradesh,Kushinagar,339,67,14,0,1
34,Uttar Pradesh,Lalitpur,191,29,5,0,2
34,Uttar Pradesh,Lucknow,336,35,9,0,11
34,Uttar Pradesh,Maharanganj,278,46,14,0,1
34,Uttar Pradesh,Mahoba,140,18,4,0,2
34,Uttar Pradesh,Mainpuri,203,55,9,0,2
34,Uttar Pradesh,Mathura,261,37,12,0,3
34,Uttar Pradesh,Mau,225,45,6,0,2
34,Uttar Pradesh,Meerut,293,42,12,0,2
34,Uttar Pradesh,Mirzapur,265,47,13,0,2
34,Uttar Pradesh,Moradabad,286,35,6,0,2
34,Uttar Pradesh,Muzzafarnagar,286,47,7,0,2
34,Uttar Pradesh,Pilibhit,195,29,6,0,2
34,Uttar Pradesh,Pratapgarh,360,65,27,0,2
34,Uttar Pradesh,Raibareilly,277,54,12,0,2
34,Uttar Pradesh,Rampur,211,32,5,0,2
34,Uttar Pradesh,Saharanpur,338,48,13,0,3
34,Uttar Pradesh,Sambhal,131,34,8,0,1
34,Uttar Pradesh,Sant Ravidas Nagar,155,21,6,0,2
34,Uttar Pradesh,Santkabirnagar,182,26,6,0,1
34,Uttar Pradesh,Shahjahanpur,310,51,13,0,2
34,Uttar Pradesh,Shamli,130,28,5,0,0
34,Uttar Pradesh,Shrawasti,133,17,6,0,1
34,Uttar Pradesh,Siddharthanagar,274,70,11,0,1
34,Uttar Pradesh,Sitapur,448,78,17,0,2
34,Uttar Pradesh,Sonbhadra,165,32,6,0,1
34,Uttar Pradesh,Sultanpur,232,54,11,0,2
34,Uttar Pradesh,Unnav,348,52,12,0,2
34,Uttar Pradesh,Varanasi,312,30,8,0,5
34,Uttar Pradesh,Total,20521,3497,773,0,160
35,Uttarakhand,Almora,206,28,4,2,2
35,Uttarakhand,Bageshwar,84,12,2,0,1
35,Uttarakhand,Chamoli,110,13,5,0,1
35,Uttarakhand,Champawat,68,6,2,1,1
35,Uttarakhand,Dehradun,175,23,7,4,2
35,Uttarakhand,Pauri Garhwal,239,32,5,3,2
35,Uttarakhand,Haridwar,160,28,6,1,2
35,Uttarakhand,Nainital,143,19,8,4,2
35,Uttarakhand,Pithoragarh@,156,18,4,0,2
35,Uttarakhand,Rudraprayag,68,13,2,0,1
35,Uttarakhand,Tehri Garhwal,204,28,5,1,1
35,Uttarakhand,Udhamsingh Nagar,153,27,6,1,1
35,Uttarakhand,Uttarkashi,82,10,3,0,1
35,Uttarakhand,Total,1848,257,59,17,19
36,West Bengal,Bankura,564,69,22,1,1
36,West Bengal,Barddhaman,765,105,35,3,1
36,West Bengal,Birbhum,484,58,19,1,2
36,West Bengal,Dakshin Dinajpur,248,18,8,1,1
36,West Bengal,Darjiling,230,22,12,2,2
36,West Bengal,Haora,448,43,15,1,1
36,West Bengal,Hugli,672,60,18,3,1
36,West Bengal,Jalpaiguri,301,25,7,1,1
36,West Bengal,Koch Bihar,406,29,12,4,1
36,West Bengal,Malda,511,34,16,1,0
36,West Bengal,Medinipur(W),858,82,29,2,1
36,West Bengal,Medinipur(E),706,53,24,3,2
36,West Bengal,Murshidabad,832,69,27,4,0
36,West Bengal,Nadia,469,47,17,2,1
36,West Bengal,North Twenty Four Parganas,742,52,22,3,2
36,West Bengal,Puruliya,485,52,20,1,1
36,West Bengal,South Twenty Four Parganas,1068,60,30,3,2
36,West Bengal,Uttar Dinajpur,344,18,9,1,1
36,West Bengal,Alipurduar,236,13,7,0,1
36,West Bengal,Total,10369,909,349,37,22
All India/ Total,All India/ Total,Total,155708,25387,5521,1065,773
